epoch_id,campaign_id,sequence_id,output_time,gps_seconds,fixed_lat_deg,fixed_lon_deg,fixed_height_m,ratio,n_sat_solution,pos_sigma_h,pos_sigma_v,reference_lat_deg,reference_lon_deg,fixed_error_h,risk_score,requires_review,quality_category,actual_exceeds_tolerance
87,DATA13,DATA13,2021-11-18 04:40:17.000000,1321245617.0,30.534804689,114.421190809,12.6353,9.0,25,0.0051623637996561,0.0109,30.5348047357,114.4211906475,0.0163402017456981,0.0011115939348770494,False,В пределах допуска — принято,False
88,DATA13,DATA13,2021-11-18 04:40:18.000000,1321245618.0,30.53480469,114.421190793,12.6293,10.5,25,0.0051623637996561,0.0109,30.5348047358,114.4211906478,0.0148303734371638,0.0010556757322725807,False,В пределах допуска — принято,False
89,DATA13,DATA13,2021-11-18 04:40:19.000000,1321245619.0,30.534804692,114.421190795,12.6327,8.5,25,0.0051623637996561,0.0109,30.5348047357,114.4211906471,0.0149972641970992,0.001130883226079171,False,В пределах допуска — принято,False
90,DATA13,DATA13,2021-11-18 04:40:20.000000,1321245620.0,30.534804689,114.421190795,12.6359,7.6,25,0.0051623637996561,0.0109,30.5348047349,114.4211906408,0.015648257567404,0.001166450364109167,False,В пределах допуска — принято,False
91,DATA13,DATA13,2021-11-18 04:40:21.000000,1321245621.0,30.534804685,114.421190803,12.6328,7.5,25,0.0051623637996561,0.0109,30.5348047345,114.4211906383,0.0167309811149557,0.0011704706043086906,False,В пределах допуска — принято,False
92,DATA13,DATA13,2021-11-18 04:40:22.000000,1321245622.0,30.53480471,114.421190807,12.6293,11.7,25,0.0051623637996561,0.0109,30.5348047352,114.4211906378,0.016475850300904,0.0010129713220611372,False,В пределах допуска — принято,False
93,DATA13,DATA13,2021-11-18 04:40:23.000000,1321245623.0,30.534804701,114.42119081,12.6307,8.5,25,0.0051623637996561,0.0109,30.5348047354,114.4211906377,0.0169688539739016,0.001130883226079171,False,В пределах допуска — принято,False
94,DATA13,DATA13,2021-11-18 04:40:24.000000,1321245624.0,30.534804689,114.421190803,12.632,10.1,25,0.0051623637996561,0.0109,30.5348047354,114.4211906379,0.0166579358074182,0.0010703064972079062,False,В пределах допуска — принято,False
95,DATA13,DATA13,2021-11-18 04:40:25.000000,1321245625.0,30.534804696,114.421190802,12.6266,9.0,25,0.0051623637996561,0.0109,30.5348047358,114.4211906379,0.0163542937862999,0.0011115939348770494,False,В пределах допуска — принято,False
96,DATA13,DATA13,2021-11-18 04:40:26.000000,1321245626.0,30.534804679,114.421190796,12.6248,13.2,25,0.0051623637996561,0.0109,30.5348047295,114.4211906515,0.0149544371128117,0.0009620095049485073,False,В пределах допуска — принято,False
